 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
14.186.11.127 - - [16/Jul/2018 19:20:33] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:34] "POST /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:41] "OPTIONS /api/question HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 19:20:41] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:03] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:03] "GET /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:08] "OPTIONS /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:08] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:11] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:12] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:14] "OPTIONS /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:14] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:16] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:46:18] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:48:09] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:48:09] "GET /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:50:38] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:50:38] "GET /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:50:45] "OPTIONS /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:50:45] "POST /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:50:49] "POST /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:50:54] "OPTIONS /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:50:54] "POST /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:51:00] "OPTIONS /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:51:00] "POST /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:51:02] "POST /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:51:08] "OPTIONS /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:51:08] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:51:45] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:51:45] "GET /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:52:14] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:52:14] "GET /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:52:28] "OPTIONS /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:52:28] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:52:29] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:52:35] "POST /api/upload HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:53:44] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 00:53:44] "GET /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:54:36] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:54:36] "GET /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:54:42] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:54:42] "GET /api/question/greeting HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:54:45] "OPTIONS /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:54:45] "POST /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:54:47] "POST /api/question HTTP/1.1" 200 -
116.109.152.133 - - [17/Jul/2018 00:56:37] "POST /api/upload HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:00:46] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:00:46] "GET /api/question/greeting HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:00:56] "OPTIONS /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:00:56] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:10] "OPTIONS /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:10] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:14] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:16] "OPTIONS /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:16] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:20] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:20] "GET /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:22] "OPTIONS /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:22] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:23] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:24] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:25] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:25] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:32] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:32] "GET /api/question/greeting HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:34] "OPTIONS /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:34] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:36] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:38] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:39] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:01:39] "GET /api/question/greeting HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:39] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:40] "OPTIONS /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:01:40] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:02:01] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:02:02] "GET /api/question/greeting HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:02:04] "OPTIONS /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:02:04] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:02:06] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:02:07] "POST /api/question HTTP/1.1" 200 -
42.114.23.229 - - [17/Jul/2018 01:02:08] "POST /api/question HTTP/1.1" 200 -
171.252.112.112 - - [17/Jul/2018 01:02:58] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
171.252.112.112 - - [17/Jul/2018 01:02:59] "GET /api/question/greeting HTTP/1.1" 200 -
73.97.143.86 - - [17/Jul/2018 01:03:17] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
73.97.143.86 - - [17/Jul/2018 01:03:17] "GET /api/question/greeting HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:43] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:43] "GET /api/question/greeting HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:50] "OPTIONS /api/question HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:50] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:51] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:52] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:53] "POST /api/question HTTP/1.1" 200 -
116.100.255.143 - - [17/Jul/2018 01:04:54] "POST /api/question HTTP/1.1" 200 -
113.176.70.158 - - [17/Jul/2018 01:06:57] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
113.176.70.158 - - [17/Jul/2018 01:06:57] "GET /api/question/greeting HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:15:29] "OPTIONS /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:15:29] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:15:30] "POST /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:15:57] "OPTIONS /api/question HTTP/1.1" 200 -
115.77.84.85 - - [17/Jul/2018 01:15:57] "POST /api/question HTTP/1.1" 200 -
103.199.37.131 - - [17/Jul/2018 01:16:51] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
103.199.37.131 - - [17/Jul/2018 01:16:52] "GET /api/question/greeting HTTP/1.1" 200 -
42.119.146.247 - - [17/Jul/2018 01:25:11] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
42.119.146.247 - - [17/Jul/2018 01:25:11] "GET /api/question/greeting HTTP/1.1" 200 -
171.232.245.37 - - [17/Jul/2018 01:30:11] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
171.232.245.37 - - [17/Jul/2018 01:30:11] "GET /api/question/greeting HTTP/1.1" 200 -
171.232.245.37 - - [17/Jul/2018 01:30:20] "OPTIONS /api/question HTTP/1.1" 200 -
171.232.245.37 - - [17/Jul/2018 01:30:20] "POST /api/question HTTP/1.1" 200 -
171.232.245.37 - - [17/Jul/2018 01:30:23] "POST /api/question HTTP/1.1" 200 -
18.237.58.78 - - [17/Jul/2018 01:31:17] "GET /api/question/greeting HTTP/1.1" 200 -
103.199.70.84 - - [17/Jul/2018 02:04:58] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
